,Name,Year,Genres,Rating,Duration,Actors,Director,Average Rating,Budget,Opening Weekend,Gross US,Gross WW,Language,Production Company
937,30 Days of Night,2007,"['Action', 'Horror', 'Thriller']",R,113,"['Josh Hartnett', 'Melissa George', 'Danny Huston', 'Ben Foster']",David Slade,6.6,32000000,15951902,39568996,80276156,['English'],"['ColumbiaPicturesCorporation', 'GhostHousePictures', 'DarkHorseEntertainment']"
938,Bee Movie,2007,[],P, 91,[],NA,6.1,150000000,38021044,126631277,287594577,['English'],"['DreamWorksAnimation', 'Columbus81Productions', 'PacificDataImages(PDI)']"
939,Disturbia,2007,[],P,105,[],NA,6.9,20000000,22224982,80209692 2 August 2007,117760134 2 August 2007,"['English', 'Spanish']","['DreamWorks', 'ColdSpringPictures', 'TheMontecitoPictureCompany']"
940,Eastern Promises,2007,[],R,100,[],NA,7.7,            Budget:£25000000,547092,17114882 26 October 2007,NA,"['English', 'Russian', 'Turkish', 'Ukrainian', 'Urdu']","['KudosFilmandTelevision', 'BBCFilms', 'SerendipityPointFilms']"
941,The Golden Compass,2007,"['Adventure', 'Family', 'Fantasy']",P,113,"['Nicole Kidman', 'Daniel Craig', 'Dakota Blue Richards', 'Ben Walker']",Chris Weitz,6.1,180000000,25783232,70107728,346000000,"['English', 'Icelandic', 'Russian', 'French']","['NewLineCinema', 'IngeniousFilmPartners', 'ScholasticProductions']"
942,Grindhouse,2007,[],R,191,[],NA,7.6,53000000,11596613,25031037 17 June 2007,NA,"['English', 'Spanish']","['DimensionFilms', 'BigTalkProductions', 'DartmouthInternational']"
943,The Kingdom,2007,"['Action', 'Drama', 'Thriller']",R,110,"['Jamie Foxx', 'Chris Cooper', 'Jennifer Garner', 'Jason Bateman']",Peter Berg,7.0,70000000,17135055,47536778 31 December 2007,86658558 29 December 2012,"['English', 'Arabic']","['UniversalPictures', 'RelativityMedia', 'ForwardPass']"
944,Mr. Brooks,2007,"['Crime', 'Drama', 'Thriller']",R,120,"['Kevin Costner', 'Demi Moore', 'William Hurt', 'Dane Cook']",Bruce A. Evans,7.3,20000000,10017067,28476219 12 August 2007,NA,['English'],"['Metro-Goldwyn-Mayer(MGM)', 'EdenRockMedia', 'ElementFilms']"
945,National Treasure: Book of Secrets,2007,"['Action', 'Adventure', 'Family', 'Mystery', 'Thriller']",P,124,"['Nicolas Cage', 'Diane Kruger', 'Justin Bartha', 'Jon Voight']",Jon Turteltaub,6.5,130000000,65444195,219964115,457364600,"['English', 'French']","['WaltDisneyPictures', 'JerryBruckheimerFilms', 'JunctionEntertainment']"
946,Resident Evil: Extinction,2007,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",R, 94,"['Milla Jovovich', 'Ali Larter', 'Oded Fehr', 'Iain Glen']",Russell Mulcahy,6.3,45000000,23678580,50648679,147717833,['English'],"['ScreenGems', 'ConstantinFilm', 'Davis-Films']"
